County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,033,Clayton J. Davenport E.S.,PH,9,9,2,0,4,5,8,4,0,0,0,0,1,2,44,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,033,Clayton J. Davenport E.S.,KF,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,033,Clayton J. Davenport E.S.,KH,28,30,10,5,26,24,16,20,0,0,0,0,5,7,171,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,033,Clayton J. Davenport E.S.,01,39,40,10,6,33,30,20,15,1,0,1,0,1,3,199,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,033,Clayton J. Davenport E.S.,02,39,27,9,9,30,30,17,22,0,0,0,0,5,5,193,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,033,Clayton J. Davenport E.S.,03,39,38,13,10,34,33,18,14,0,1,0,0,8,8,216,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,033,Clayton J. Davenport E.S.,UG,12,1,3,0,6,0,13,3,0,0,0,0,1,0,39,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,033,Clayton J. Davenport E.S.,55,168,145,47,30,134,122,92,78,1,1,1,0,21,25,865,329,90,77,0
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,035,E.H. Slaybaugh E.S.,PH,15,15,0,0,3,1,5,4,0,0,0,0,2,1,46,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,035,E.H. Slaybaugh E.S.,KH,52,55,4,5,16,8,8,13,0,0,0,0,6,3,170,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,035,E.H. Slaybaugh E.S.,01,73,71,6,4,19,8,13,20,0,0,1,0,12,3,230,,,,
