County Code,County Name,District Code,District Name,Total Enrollment,White,%White,Black,%Black,Hispanic,%Hispanic,Asian,%Asian,Native American,%Native American,Hawaiian Native,%Hawaiian Native,Two or More Races,%Two or More Races,Pre-K Halfday,Pre-K FullDay,Kindergarten Halfday,Kindergarten Fullday,First Grade,Second Grade,Third Grade,Fourth Grade,Fifth Grade,Sixth Grade,Seventh Grade,Eighth Grade,Ninth Grade,Tenth Grade,Eleventh Grade,Twelfth Grade,Ungraded,%Free Lunch,%Reduced Lunch,%English Learners,%Migrant,%Military,%Homeless
03,Bergen,0745,Carlstadt-East Rutherford,519.5,253.5,48.8,33.5,6.4,170.5,32.8,58,11.2,1,0.2,0,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,143.5,116.5,134.5,119,6,27.1,9.4,3.1,0,0,0
03,Bergen,0890,Cliffside Park Boro,3190,1021,32,63,2,1949,61.1,133,4.2,10,0.3,3,0.1,11,0.3,58,30,0,188,206,190,189,182,214,188,164,189,308.5,292,305.5,273,213,45.5,8.1,12.4,0,0.1,0.2
03,Bergen,0930,Closter Boro,1195,555,46.4,7,0.6,92,7.7,504,42.2,2,0.2,7,0.6,28,2.3,2,23,0,114,106,130,125,134,138,131,125,138,0,0,0,0,29,0.8,0,8.5,0,0.2,0
03,Bergen,0990,Cresskill Boro,1793.5,975.5,54.4,20,1.1,107,6,648,36.1,1,0.1,1,0.1,41,2.3,0,0,0,113,109,125,142,132,172,161,150,135,129,122.5,130,127,46,0.6,0.3,5.8,0,0,0
03,Bergen,1070,Demarest Boro,701,425,60.6,2,0.3,40,5.7,215,30.7,0,0,0,0,19,2.7,0,45,0,54,68,60,74,70,86,76,83,81,0,0,0,0,4,0,0,1.3,0,0,0
03,Bergen,1130,Dumont Boro,2517,1221,48.5,97,3.9,736,29.2,412,16.4,13,0.5,32,1.3,6,0.2,46,0,0,196,160,187,192,147,208,247,108,196,206.5,187.5,211,193,32,7.2,1.7,3,0.2,0,0
03,Bergen,1230,East Rutherford Boro,772,221,28.6,42,5.4,309,40,171,22.2,4,0.5,1,0.1,24,3.1,23,25,0,87,83,86,74,68,66,70,87,70,0,0,0,0,33,24.9,7.3,6.5,0,0,0.6
03,Bergen,1270,Edgewater Boro,946,257,27.2,47,5,165,17.4,425,44.9,0,0,1,0.1,51,5.4,0,80,0,136,150,164,92,106,102,90,0,0,0,0,0,0,26,6.7,1.9,12.4,0,0,0
03,Bergen,1345,Elmwood Park,2579.5,1022,39.6,261,10.1,989.5,38.4,279,10.8,4,0.2,4,0.2,20,0.8,8,15,0,174,193,194,168,213,174,209,236,181,179.5,189,163.5,171,111.5,34.9,10.9,5.3,0,0,1.6
03,Bergen,1360,Emerson Boro,1100,744,67.6,16,1.5,199,18.1,104,9.5,1,0.1,3,0.3,33,3,42,0,0,75,86,61,88,72,90,75,74,94,72,74,74,87,36,6.5,1.1,1.8,0,0.1,0.1
