County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,Grade_Level,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,PF,PK,1,0,22,17,6,4,3,1,0,0,0,0,0,0,54,,,,
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,KF,KG,0,0,19,17,9,11,3,5,0,0,0,0,1,0,65,,,,
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,01,01,0,0,19,26,11,15,2,0,0,0,0,0,0,0,73,,,,
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,02,02,1,1,19,21,10,12,2,6,0,0,0,0,1,0,73,,,,
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,03,03,0,0,11,14,16,10,2,4,0,0,1,0,0,0,58,,,,
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,04,04,0,1,14,16,10,6,0,2,0,0,0,0,0,0,49,,,,
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,05,05,0,2,13,12,6,6,1,0,0,0,0,0,0,0,40,,,,
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,06,06,0,0,23,13,8,12,2,3,0,0,0,0,0,0,61,,,,
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,07,07,0,0,14,23,6,12,0,1,0,0,1,0,1,0,58,,,,
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,08,08,0,2,12,20,5,6,0,1,0,0,0,0,0,0,46,,,,
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,UG,UG,0,0,15,3,6,1,1,1,0,0,0,0,0,0,27,,,,
01,ATLANTIC,0110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,55,TOTAL,2,6,181,182,93,95,16,24,0,0,2,0,3,0,604,488,14,84,0
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,PF,PK,2,1,3,3,11,6,3,5,0,0,0,0,0,0,34,,,,
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,KF,KG,2,1,4,2,21,25,18,6,0,0,0,0,1,2,82,,,,
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,01,01,1,0,5,4,21,23,9,7,0,0,0,0,0,0,70,,,,
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,02,02,3,4,3,1,18,18,9,18,0,0,2,2,0,1,79,,,,
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,03,03,2,1,4,3,14,17,9,12,0,0,0,1,0,0,63,,,,
01,ATLANTIC,0110,ATLANTIC CITY,120,Richmond Avenue School,04,04,1,0,3,3,18,20,10,7,0,0,8,0,0,0,70,,,,
