CountyCode,CountyName,DistrictCode,DistrictName,EnrollmentChange,EnrollmentChangeNormalized
13,Essex,4900,South Orange-Maplewood School District,-356,876
23,Middlesex,4910,South Plainfield School District,5,1237
23,Middlesex,4920,South River Public School District,-22.5,1209.5
05,Burlington,4930,Southampton Township School District,11,1243
29,Ocean,4950,Southern Regional School District,-8,1224
37,Sussex,4960,Sparta Township Public School District,-71.5,1160.5
23,Middlesex,4970,Spotswood Public School District,-69,1163
25,Monmouth,4980,Spring Lake Borough,22,1254
25,Monmouth,4990,Spring Lake Heights School District,-2,1230
39,Union,5000,Springfield Public School District,-44,1188
05,Burlington,5010,Springfield Township School District,-17,1215
29,Ocean,5020,Stafford Township School District,-21,1211
37,Sussex,5030,Stanhope School District,-14,1218
07,Camden,5035,Sterling Regional School District,-9,1223
37,Sussex,5040,Stillwater Township School District,19,1251
09,Cape May,5060,Stone Harbor School District,3,1235
11,Cumberland,5070,Stow Creek Township School District,0,1232
07,Camden,5080,Stratford School District,-38,1194
39,Union,5090,Summit Public School District,-89,1143
37,Sussex,5110,Sussex County Technical School District,-28,1204
80,Charters,7850,Sussex County Technology Charter School,-2,1230
37,Sussex,5100,Sussex-Wantage Regional School District,-44,1188
15,Gloucester,5120,Swedesboro-Woolwich School District,-86,1146
05,Burlington,5130,Tabernacle Township School District,-12,1220
80,Charters,7325,Team Academy Charter School,482.5,1714.5
80,Charters,7890,Teaneck Community Charter School,9,1241
03,Bergen,5150,Teaneck School District,-4,1228
03,Bergen,5160,Tenafly Public School District,-148,1084
19,Hunterdon,5180,Tewksbury Township School District,-36,1196
80,Charters,6033,The Barack Obama Green Charter High School District,9,1241
80,Charters,6030,The Ethical Community Charter School,-7,1225
80,Charters,7115,The Learning Community Charter School,-19,1213
33,Salem,2800,The Lower Alloways Creek School District,3,1235
80,Charters,7600,The Queen City Academy Charter School District,18,1250
80,Charters,8140,The Village Charter School,5,1237
80,Charters,6081,Thomas Edison Energysmart Charter School,35,1267
25,Monmouth,5185,Tinton Falls School District,-85,1147
29,Ocean,5190,Toms River Regional School District,-674.5,557.5
31,Passaic,5200,Totowa Public School District,-70,1162
15,Gloucester,1590,Township Of Franklin School District,-119,1113
25,Monmouth,3810,Township Of Ocean School District,-19.5,1212.5
39,Union,5290,Township Of Union School District,-43.5,1188.5
21,Mercer,5210,Trenton Public Schools,226,1458
80,Charters,6183,Trenton Stem-To-Civics Charter School,-8,1224
29,Ocean,5220,Tuckerton Borough School District,-19,1213
25,Monmouth,5230,Union Beach Public School District,-28,1204
17,Hudson,5240,Union City School District,-385,847
39,Union,5245,Union County Educational Services Commission,-72,1160
80,Charters,8010,Union County Teams Charter School-High School/College La,32,1264
39,Union,5260,Union County Vocational-Technical School District,-26.5,1205.5
19,Hunterdon,5270,Union Township School District,-42,1190
80,Charters,8050,Unity Charter School,9,1241
80,Charters,8060,University Academy Charter High School,8,1240
80,Charters,8065,University Heights Charter School,-37,1195
11,Cumberland,5300,Upper Deerfield Township School District,-24,1208
25,Monmouth,5310,Upper Freehold Regional School District,-58.5,1173.5
33,Salem,5320,Upper Pittsgrove Twp School District,0,1232
03,Bergen,5330,Upper Saddle River School District,0,1232
09,Cape May,5340,Upper Township School District,-96,1136
01,Atlantic,5350,Ventnor City School District,-30,1202
37,Sussex,5360,Vernon Township School District,-68,1164
13,Essex,5370,Verona Public School District,-84,1148
80,Charters,6028,Vineland Public Charter School,47,1279
11,Cumberland,5390,Vineland Public School District,-247,985
07,Camden,5400,Voorhees Township School District,-39,1193
03,Bergen,5410,Waldwick School District,-21,1211
25,Monmouth,5420,Wall Township Public School District,-82.5,1149.5
03,Bergen,5430,Wallington Boro School District,-30.5,1201.5
37,Sussex,5435,Wallkill Valley Regional High School,24,1256
31,Passaic,5440,Wanaque School District,-33,1199
41,Warren,5460,Warren County Vocational Technical School,-3,1229
41,Warren,5465,Warren Hills Regional School District,-25,1207
35,Somerset,5470,Warren Township School District,-74,1158
41,Warren,5480,Washington Borough School District,19,1251
41,Warren,5530,Washington Township School District,-33,1199
27,Morris,5520,Washington Township School District,-92,1140
15,Gloucester,5500,Washington Township School District,-210,1022
35,Somerset,5540,Watchung Borough School District,6,1238
35,Somerset,5550,Watchung Hills Regional High School District,-39,1193
07,Camden,5560,Waterford Township School District,-21,1211
31,Passaic,5570,Wayne Township Public School District,-165,1067
17,Hudson,5580,Weehawken Public School District,-91,1141
15,Gloucester,5590,Wenonah  Boro School District,-1,1231
09,Cape May,5610,West Cape May School District,-14,1218
15,Gloucester,5620,West Deptford Township School District,-63,1169
13,Essex,5630,West Essex Regional School District,-24,1208
25,Monmouth,5640,West Long Branch School District,-22,1210
31,Passaic,5650,West Milford Township Public School District,-148,1084
27,Morris,5660,West Morris Regional High School District,-138,1094
17,Hudson,5670,West New York School District,-302,930
13,Essex,5680,West Orange Public Schools,27,1259
21,Mercer,5715,West Windsor-Plainsboro Regional School District,-225,1007
05,Burlington,5720,Westampton Township Public School District,-41,1191
39,Union,5730,Westfield Public School District,-244.5,987.5
15,Gloucester,5740,Westville Boro Public School District,-21,1211
03,Bergen,5755,Westwood Regional School District,-29.5,1202.5
01,Atlantic,5760,Weymouth Township School District,-11,1221
27,Morris,5770,Wharton Borough School District,-60,1172
41,Warren,5780,White Township Consolidated School District,-35,1197
09,Cape May,5790,Wildwood City School District,-67,1165
