"County Code","County Name","District Code","District Name","Total Enrollment","White","Black","Hispanic","Asian","Native American","Hawaiian Native","Two Or More Races","%Free Lunch","%Reduced Lunch","Pre-K","Kindergarten","First Grade","Second Grade","Third Grade","Fourth Grade","Fifth Grade","Sixth Grade","Seventh Grade","Eighth Grade","Ninth Grade","Tenth Grade","Eleventh Grade","Twelfth Grade"
"03","Bergen","1130","Dumont Boro",-2.1,-6.4,4.1,3.7,-5.1,0,-12.5,300,0.0999999999999996,-0.2,-17.4,-9.2,7.5,-9.6,-3.1,17.7,-30.3,0,41.7,-4.6,-9.4,1.9,-8.1,5.7
"03","Bergen","1230","East Rutherford Boro",-1.2,-4.5,-2.4,0.3,-1.8,0,-100,20.8,-1.7,-0.2,-29.2,25.3,-3.6,-10.5,4.1,5.9,-9.1,-5.7,-19.5,27.1,NA,NA,NA,NA
"03","Bergen","1270","Edgewater Boro",-28.2,-29.6,-21.3,-21.2,-31.8,NA,0,-21.6,0.5,-0.6,-93.8,-39,-25.3,-29.3,14.1,-33,-11.8,-11.1,NA,NA,NA,NA,NA,NA
"03","Bergen","1345","Elmwood Park",-2.2,-5.2,-0.6,-0.5,-1.1,25,-25,25,-2.1,-2.1,-47.8,-10.9,-7.8,-6.2,10.7,-27.7,22.4,-17.2,-9.3,27.6,5.3,-5.3,9.5,-7
"03","Bergen","1360","Emerson Boro",-6.6,-8.2,-12.5,2.5,-16.3,0,0,6.1,-0.9,0.4,-76.2,-4,-16.3,39.3,-33,25,-22.2,21.3,-1.4,-20.2,4.2,1.4,5.4,-13.8
"03","Bergen","1370","Englewood City",-1.2,-7.8,-8.2,2.9,1.3,0,0,24.2,-2.6,-0.5,9.5,-18.7,11,-3.8,-7.1,-8.8,11.7,-13.1,-4.1,12,-5.4,17.3,-13.4,4.7
"03","Bergen","1380","Englewood Cliffs Boro",-10.8,-14.6,0,10.3,-13.4,NA,200,14.3,0,0,-56.7,-17,57.1,-39.6,17,-4.3,-15.3,-5.8,-6,-27,NA,NA,NA,NA
"03","Bergen","1450","Fair Lawn Public Schools",0.7,-2.2,5.9,6.3,4.2,-13.6,-16.7,6.5,0.300000000000001,-0.4,0,-13,-11.6,3.8,5.3,-2,13.3,-0.8,0.8,7.3,-2.2,5,-0.3,1.8
"03","Bergen","1470","Fairview Boro",-1,2.3,-23.1,-1.1,-17.6,NA,NA,100,-26.6,-5.1,1.4,-2,-10.8,1.7,-1.2,1.9,6.9,9.4,-15.6,9.2,NA,NA,NA,NA
"03","Bergen","1550","Fort Lee Boro",-1.5,-4.2,9.9,-0.7,-2.1,0,11.1,22.4,-1.3,-0.8,-11.8,-13.6,-7.1,-9.6,-3.1,-12.4,0.3,-4,6.3,8.5,-5.4,-12.7,26.4,12.8
